County,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY,,,,,,
Sonoma,2015,"3,199","16,968","17,640","10,913","501,182","125,873","99,911","29,579","8,388",,,,,,
Stanislaus,2015,"4,006","45,098","46,331","17,652","538,372","93,026","144,320","48,625","19,884",,,,,,
Sutter,2015,503,"6,155","6,729","2,323","97,618","19,092","25,208","8,773","3,793",,,,,,
Tehama,2015,468,"5,327","5,161","1,273","63,970","15,536","15,464","2,169","3,068",,,,,,
Trinity,2015,119,"1,155",639,*,"13,562","4,842","2,195",100,643,,,,,,
Tulare,2015,"5,048","53,491","69,084","41,179","463,291","71,023","144,018","58,345","17,848",,,,,,
Tuolumne,2015,456,"3,348","2,063",90,"54,525","18,311","8,920",577,"1,615",,,,,,
Ventura,2015,"5,305","32,599","40,201","28,284","852,013","170,129","201,282","85,361","14,875",,,,,,
Yolo,2015,"1,268","10,532","9,376","5,571","212,686","35,269","47,469","13,104","5,260",,,,,,
Yuba,2015,471,"6,984","6,495","1,485","75,579","12,715","21,542","3,808","3,710",,,,,,
Statewide,2016,"275,731","1,953,549","2,130,350","1,269,610","39,354,432","7,672,542","9,197,902","3,750,777","1,171,642",,,,,,
Alameda,2016,"10,695","54,015","54,246","37,866","1,637,712","316,180","345,421","142,005","46,141",,,,,,
Alpine,2016,15,90,45,0,"1,148",378,208,11,34,,,,,,
Amador,2016,293,"1,848","1,235",100,"37,191","12,901","5,644",570,677,,,,,,
Butte,2016,"1,940","18,169","12,890","2,410","225,125","55,290","45,620","7,445","10,550",,,,,,
Calaveras,2016,572,"2,926","1,790",105,"44,791","16,474","7,363",277,"1,015",,,,,,
Colusa,2016,114,574,811,393,"22,408","4,434","6,116","2,893",552,,,,,,
Contra Costa,2016,"4,727","30,804","34,519","15,305","1,129,894","247,789","251,595","74,586","23,841",,,,,,
Del Norte,2016,287,"2,881","2,186",189,"27,040","6,661","5,824",537,"1,779",,,,,,
El Dorado,2016,"1,149","7,202","4,816",844,"184,180","51,087","36,645","3,406","2,862",,,,,,
Fresno,2016,"8,599","102,071","125,061","57,671","989,183","163,512","279,928","112,485","41,294",,,,,,
Glenn,2016,187,"1,654","1,972",742,"29,073","6,207","7,528","2,761","1,081",,,,,,
Humboldt,2016,"1,455","12,589","7,512",908,"136,086","32,838","27,690","2,230","5,383",,,,,,
Imperial,2016,"2,792","19,828","20,597","22,382","187,157","32,050","54,372","34,100","9,999",,,,,,
Inyo,2016,174,"1,050",853,224,"18,649","5,699","3,867",451,382,,,,,,
Kern,2016,"6,955","70,514","89,636","37,205","888,994","136,623","254,735","83,111","30,848",,,,,,
Kings,2016,988,"10,922","12,811","5,807","149,407","21,381","45,432","13,525","4,567",,,,,,
Lake,2016,"1,054","6,702","4,898",992,"65,128","19,175","13,526","2,348","3,660",,,,,,
Lassen,2016,168,"1,712","1,355",63,"30,645","6,887","5,308",633,881,,,,,,
Los Angeles,2016,"65,695","489,436","521,779","391,688","10,229,245","1,915,495","2,304,521","1,343,973","381,016",,,,,,
Madera,2016,985,"10,929","17,426","9,932","155,693","29,376","42,383","19,819","4,480",,,,,,
Marin,2016,"1,268","4,468","4,745","4,064","263,257","76,036","52,612","10,590","2,796",,,,,,
Mariposa,2016,215,"1,133",698,41,"18,055","6,483","2,887",193,427,,,,,,
Mendocino,2016,928,"6,566","5,237","1,689","88,995","24,819","19,104","4,384","3,066",,,,,,
Merced,2016,"2,309","23,839","31,177","14,791","272,610","41,701","79,762","32,600","10,667",,,,,,
Modoc,2016,46,579,499,48,"9,469","3,096","1,807",256,404,,,,,,
Mono,2016,65,404,357,194,"13,785","2,795","2,848","1,013",101,,,,,,
Monterey,2016,"2,774","16,209","29,652","22,216","441,129","80,555","114,101","82,997","8,101",,,,,,
Napa,2016,561,"2,946","3,968","2,829","142,269","34,640","29,835","11,745","2,034",,,,,,
Nevada,2016,778,"4,419","2,695",225,"98,552","33,995","16,434","1,305","1,824",,,,,,
Orange,2016,"20,825","101,850","136,659","113,097","3,181,371","627,423","726,521","309,974","67,977",,,,,,
Placer,2016,"1,653","8,983","7,085","1,882","376,092","96,940","78,000","5,842","5,095",,,,,,
Plumas,2016,154,"1,192",730,40,"19,494","7,235","3,171",170,663,,,,,,
Riverside,2016,"16,535","128,786","145,657","63,275","2,360,727","456,965","598,756","189,787","58,100",,,,,,
Sacramento,2016,"10,622","105,972","100,084","47,168","1,506,677","284,940","361,388","94,153","62,524",,,,,,
San Benito,2016,350,"2,369","2,888","1,596","58,014","10,729","14,569","5,252",880,,,,,,
San Bernardino,2016,"21,084","180,957","193,959","68,443","2,147,933","346,063","579,219","167,271","67,508",,,,,,
San Diego,2016,"24,013","135,994","133,618","99,769","3,300,891","637,060","780,130","238,465","75,424",,,,,,
San Francisco,2016,"8,600","27,523","18,892","22,730","871,185","188,417","124,486","99,674","36,427",,,,,,
San Joaquin,2016,"5,637","51,577","60,519","22,397","738,873","127,720","199,204","60,196","26,870",,,,,,
San Luis Obispo,2016,"1,559","9,132","7,974","3,280","278,917","75,907","49,961","10,287","4,063",,,,,,
San Mateo,2016,"3,684","10,858","15,490","13,095","768,122","171,899","161,747","54,522","9,952",,,,,,
Santa Barbara,2016,"2,277","15,072","21,923","14,873","448,353","89,021","100,705","51,832","8,004",,,,,,
Santa Clara,2016,"10,336","43,715","50,104","44,755","1,930,215","364,511","442,750","167,482","41,718",,,,,,
Santa Cruz,2016,"2,393","11,881","12,357","9,501","276,249","60,888","57,974","20,762","4,764",,,,,,
Shasta,2016,"1,506","13,777","9,672",436,"178,208","48,189","37,658","1,963","9,165",,,,,,
Sierra,2016,43,160,71,*,"3,140","1,228",465,35,85,,,,,,
Siskiyou,2016,493,"3,597","2,798",226,"44,372","14,672","8,676",755,"2,380",,,,,,
Solano,2016,"2,927","21,221","19,429","6,797","434,102","92,321","100,398","22,558","11,385",,,,,,
Sonoma,2016,"3,556","15,130","16,175","10,272","503,953","130,857","98,968","26,781","8,201",,,,,,
Stanislaus,2016,"4,334","41,704","42,829","16,575","545,008","96,403","145,017","53,504","19,620",,,,,,
Sutter,2016,573,"6,079","6,627","2,234","98,191","19,553","25,175","9,121","3,760",,,,,,
Tehama,2016,553,"4,881","4,816","1,215","64,098","15,747","15,435","2,385","2,998",,,,,,
Trinity,2016,150,"1,067",571,*,"13,482","4,929","2,167",105,629,,,,,,
Tulare,2016,"5,671","51,327","67,261","40,041","468,235","73,460","144,339","66,725","17,540",,,,,,
Tuolumne,2016,567,"3,092","1,896",90,"54,282","18,652","8,734",483,"1,552",,,,,,
Ventura,2016,"5,900","31,723","39,335","28,114","854,383","176,546","199,303","82,290","14,767",,,,,,
Yolo,2016,"1,406","10,828","9,201","5,304","216,866","36,568","48,381","12,693","5,184",,,,,,
Yuba,2016,542,"6,623","6,264","1,460","76,129","13,142","21,489","3,461","3,704",,,,,,
Statewide,2017,"293,636","1,836,798","2,039,249","1,179,480","39,693,627","7,958,547","9,203,689","3,664,918","1,154,343",,,,,,
Alameda,2017,"11,104","50,519","48,679","34,447","1,655,752","328,261","346,873","136,038","45,115",,,,,,
Alpine,2017,14,75,52,0,"1,143",398,198,*,36,,,,,,
Amador,2017,303,"1,647","1,097",71,"37,267","13,105","5,607",414,672,,,,,,
Butte,2017,"2,062","17,677","12,087","2,244","226,478","56,416","45,689","5,035","10,378",,,,,,
Calaveras,2017,599,"2,805","1,638",91,"44,818","16,898","7,251",290,988,,,,,,
Colusa,2017,116,612,871,405,"22,612","4,594","6,120","2,865",564,,,,,,
Contra Costa,2017,"4,737","27,961","31,871","13,710","1,143,494","258,293","251,140","69,051","23,320",,,,,,
Del Norte,2017,298,"2,838","2,174",194,"27,063","6,800","5,811",452,"1,715",,,,,,
El Dorado,2017,"1,273","6,560","4,507",752,"185,090","53,135","36,164","3,116","2,823",,,,,,
Fresno,2017,"8,782","95,415","119,527","53,200","999,902","169,283","280,718","107,477","41,278",,,,,,
Glenn,2017,210,"1,552","1,711",582,"29,204","6,352","7,482","2,921","1,061",,,,,,
Humboldt,2017,"1,519","12,167","7,142",883,"136,835","33,792","27,901","2,263","5,236",,,,,,
Imperial,2017,"3,051","19,230","20,091","21,796","189,376","33,277","54,792","34,137","9,988",,,,,,
Inyo,2017,200,964,803,179,"18,693","5,837","3,868",447,366,,,,,,
Kern,2017,"7,901","67,421","87,057","34,717","897,727","141,680","255,195","84,362","30,862",,,,,,
Kings,2017,"1,109","10,553","12,410","5,356","150,441","22,007","45,775","13,954","4,586",,,,,,
Lake,2017,"1,139","6,308","4,619",956,"65,161","19,552","13,580","2,024","3,576",,,,,,
Lassen,2017,199,"1,699","1,358",53,"30,652","7,058","5,289",615,905,,,,,,
Los Angeles,2017,"73,289","474,008","538,420","376,091","10,288,515","1,987,419","2,295,832","1,332,866","374,280",,,,,,
Madera,2017,"1,038","10,261","16,653","9,131","157,296","30,181","42,323","19,613","4,467",,,,,,
Marin,2017,"1,341","4,205","4,444","3,839","264,413","78,078","52,532","9,885","2,720",,,,,,
Mariposa,2017,238,"1,017",631,41,"18,058","6,658","2,863",166,426,,,,,,
Mendocino,2017,"1,032","6,053","4,983","1,579","89,329","25,395","19,116","4,280","3,031",,,,,,
Merced,2017,"2,420","22,947","29,720","13,709","275,926","43,155","79,909","33,572","10,549",,,,,,
Modoc,2017,66,595,516,37,"9,431","3,135","1,781",274,410,,,,,,
Mono,2017,63,337,289,133,"13,827","2,967","2,836",848,97,,,,,,
Monterey,2017,"2,961","14,723","27,047","20,232","445,408","83,304","114,577","74,195","7,831",,,,,,
Napa,2017,604,"2,512","3,318","2,360","142,898","35,591","29,466","10,671","1,970",,,,,,
Nevada,2017,843,"4,013","2,471",214,"98,847","34,886","16,217","1,160","1,868",,,,,,
Orange,2017,"21,610","94,185","124,697","101,791","3,201,395","650,820","723,961","312,733","67,526",,,,,,
Placer,2017,"1,718","8,103","6,464","1,607","380,976","100,816","77,003","7,018","5,003",,,,,,
Plumas,2017,174,"1,148",736,47,"19,434","7,402","3,174",81,633,,,,,,
Riverside,2017,"17,466","120,072","135,592","55,786","2,395,487","477,592","598,978","180,207","58,028",,,,,,
Sacramento,2017,"11,247","101,425","96,865","47,124","1,524,524","295,548","362,411","95,631","61,582",,,,,,
San Benito,2017,335,"2,022","2,599","1,366","58,519","11,234","14,439","5,043",874,,,,,,
San Bernardino,2017,"21,239","164,951","179,841","60,407","2,168,360","360,581","579,729","159,229","66,585",,,,,,
San Diego,2017,"25,554","125,134","124,285","92,716","3,327,562","660,989","787,752","223,456","74,300",,,,,,
San Francisco,2017,"9,768","25,906","17,152","21,827","879,517","193,624","127,629","98,626","35,747",,,,,,
San Joaquin,2017,"5,999","46,993","55,568","20,009","750,002","132,452","200,170","62,413","26,463",,,,,,
San Luis Obispo,2017,"1,680","8,476","7,292","2,939","280,822","78,771","50,028","9,470","3,913",,,,,,
San Mateo,2017,"3,503","9,557","13,330","11,267","774,974","177,938","162,564","55,820","9,550",,,,,,
Santa Barbara,2017,"2,583","14,844","20,842","14,114","451,688","91,564","100,702","45,877","7,869",,,,,,
Santa Clara,2017,"10,140","37,812","43,581","38,302","1,952,286","379,958","444,642","169,331","40,724",,,,,,
Santa Cruz,2017,"2,478","11,573","11,455","8,750","278,335","63,450","58,310","20,196","4,625",,,,,,
Shasta,2017,"1,672","12,855","9,275",413,"178,359","48,890","37,586","2,176","9,049",,,,,,
Sierra,2017,47,152,73,*,"3,138","1,248",464,*,79,,,,,,
Siskiyou,2017,504,"3,277","2,622",219,"44,325","14,972","8,609",665,"2,334",,,,,,
Solano,2017,"3,122","19,457","18,023","6,195","439,320","96,492","100,669","20,285","11,067",,,,,,
Sonoma,2017,"3,560","13,464","14,220","9,052","507,323","135,829","98,139","26,059","8,029",,,,,,
Stanislaus,2017,"4,760","38,928","40,179","15,443","551,712","99,859","145,609","49,236","19,222",,,,,,
Sutter,2017,628,"5,750","6,282","2,042","98,992","20,046","25,083","9,073","3,766",,,,,,
Tehama,2017,559,"4,500","4,505","1,138","64,313","16,080","15,426","2,512","2,945",,,,,,
Trinity,2017,160,"1,008",532,*,"13,447","5,064","2,147",152,614,,,,,,
Tulare,2017,"5,907","49,992","64,931","38,463","473,308","75,894","144,428","61,937","17,521",,,,,,
Tuolumne,2017,578,"2,733","1,760",74,"54,193","19,020","8,650",371,"1,540",,,,,,
Ventura,2017,"6,080","29,547","35,864","25,344","858,585","183,314","197,824","77,750","14,726",,,,,,
Yolo,2017,"1,435","9,803","8,311","4,687","220,171","38,002","49,156","13,088","5,077",,,,,,
Yuba,2017,619,"6,457","6,186","1,337","76,904","13,591","21,502","3,464","3,621",,,,,,
Statewide,2018,"322,094","1,773,510","1,913,457","1,093,944","39,809,693","8,221,985","9,261,018","3,597,443","1,135,190",,,,,,
Alameda,2018,"11,501","47,884","44,043","30,654","1,660,202","339,021","351,696","130,524","44,220",,,,,,
Alpine,2018,14,68,39,0,"1,154",397,190,*,33,,,,,,
Amador,2018,323,"1,445",973,64,"38,094","13,314","5,642",399,648,,,,,,
Butte,2018,"2,273","17,305","11,692","2,010","227,621","57,350","46,448","5,363","10,183",,,,,,
Calaveras,2018,620,"2,712","1,623",77,"45,157","17,243","7,178",314,964,,,,,,
Colusa,2018,121,600,753,381,"22,098","4,723","6,121","3,184",571,,,,,,
Contra Costa,2018,"5,269","26,873","29,860","12,644","1,149,363","266,792","251,554","69,152","22,931",,,,,,
Del Norte,2018,328,"2,688","2,009",192,"27,221","6,895","5,816",434,"1,697",,,,,,
El Dorado,2018,"1,272","5,953","4,054",665,"188,399","55,406","35,745","3,079","2,767",,,,,,
Fresno,2018,"9,095","90,733","112,941","48,747","1,007,229","175,008","282,393","108,140","41,276",,,,,,
Glenn,2018,244,"1,517","1,670",520,"28,796","6,511","7,481","2,579","1,042",,,,,,
Humboldt,2018,"1,663","11,759","6,579",756,"136,002","34,375","28,453","2,500","5,039",,,,,,
Imperial,2018,"3,134","18,206","18,884","20,717","190,624","34,300","55,371","34,263","9,949",,,,,,
Inyo,2018,218,961,764,148,"18,577","5,960","3,870",460,358,,,,,,
Kern,2018,"8,501","64,269","83,589","33,485","905,801","146,852","256,078","84,735","31,038",,,,,,
Kings,2018,"1,183","10,288","11,878","5,024","151,662","22,623","46,215","13,829","4,572",,,,,,
Lake,2018,"1,565","7,398","5,131","1,278","65,081","19,845","13,632","2,087","3,506",,,,,,
Lassen,2018,227,"1,491","1,201",51,"30,911","7,281","5,294",520,863,,,,,,
Los Angeles,2018,"91,132","486,906","520,268","363,721","10,283,729","2,056,614","2,298,592","1,297,024","366,052",,,,,,
Madera,2018,"1,154","9,834","15,793","8,581","158,894","31,061","42,250","18,907","4,441",,,,,,
Marin,2018,"1,488","4,205","4,263","3,685","263,886","79,357","52,222","9,959","2,578",,,,,,
Mariposa,2018,252,958,633,38,"18,129","6,811","2,834",199,411,,,,,,
Mendocino,2018,"1,150","5,752","4,668","1,553","89,299","25,835","19,133","4,402","3,020",,,,,,
Merced,2018,"2,557","21,890","27,778","12,859","279,977","44,559","80,521","34,066","10,384",,,,,,
Modoc,2018,73,662,512,51,"9,612","3,188","1,769",284,414,,,,,,
Mono,2018,58,332,273,114,"13,822","3,154","2,836",590,89,,,,,,
Monterey,2018,"2,939","13,496","24,569","18,334","443,281","85,236","116,022","75,432","7,591",,,,,,
Napa,2018,633,"2,243","3,004","2,117","141,294","36,069","29,273","11,182","1,868",,,,,,
Nevada,2018,890,"3,987","2,422",200,"99,155","35,472","16,033","1,006","1,844",,,,,,
Orange,2018,"22,192","87,290","112,029","90,413","3,221,103","674,940","724,718","304,940","67,075",,,,,,
Placer,2018,"1,828","7,315","5,725","1,426","389,532","104,700","76,338","6,453","4,989",,,,,,
Plumas,2018,182,"1,122",725,39,"19,773","7,551","3,175",168,621,,,,,,
Riverside,2018,"18,050","111,075","125,773","49,247","2,415,955","497,063","601,945","181,074","57,936",,,,,,
Sacramento,2018,"11,983","96,234","91,993","43,300","1,529,501","304,473","363,983","92,841","60,416",,,,,,
San Benito,2018,338,"1,891","2,377","1,132","57,088","11,706","14,289","5,178",859,,,,,,
San Bernardino,2018,"21,422","152,270","166,608","53,670","2,174,938","374,170","581,301","159,507","65,947",,,,,,
San Diego,2018,"27,745","121,601","116,459","86,280","3,337,456","682,446","804,235","216,965","73,274",,,,,,
San Francisco,2018,"10,215","24,275","15,664","20,115","883,963","198,778","132,330","96,657","35,035",,,,,,
San Joaquin,2018,"6,208","43,425","50,660","17,749","758,744","137,287","201,902","62,038","25,947",,,,,,
